timestamp,source,prediction,label,confidence,latency_ms,cpu_percent,memory_mb,total_requests
2026-04-22T18:44:36.728970,attacker,14,XSS,1.0000,6.11,0.0,98.93,1
2026-04-22T18:44:37.244507,attacker,14,XSS,1.0000,4.96,22.8,98.93,2
2026-04-22T18:44:37.773647,attacker,13,Vulnerability_scanner,1.0000,4.02,16.5,99.06,3
2026-04-22T18:44:38.185325,water-sensor,7,Normal,1.0000,3.31,14.0,99.06,4
2026-04-22T18:44:38.285808,attacker,13,Vulnerability_scanner,1.0000,2.25,2.5,99.06,5
2026-04-22T18:44:38.796960,attacker,13,Vulnerability_scanner,1.0000,3.11,7.3,99.06,6
2026-04-22T18:44:39.197973,water-sensor,14,XSS,1.0000,3.47,1.6,99.06,7
2026-04-22T18:44:39.307709,attacker,14,XSS,1.0000,2.27,2.3,99.06,8
2026-04-22T18:44:39.818816,attacker,14,XSS,1.0000,2.65,6.1,99.06,9
2026-04-22T18:44:40.207633,water-sensor,14,XSS,1.0000,1.96,1.3,99.06,10
2026-04-22T18:44:40.329632,attacker,14,XSS,1.0000,2.67,3.1,99.06,11
2026-04-22T18:44:40.841863,attacker,14,XSS,1.0000,2.80,6.8,99.06,12
2026-04-22T18:44:41.234317,water-sensor,7,Normal,1.0000,8.99,2.5,99.06,13
2026-04-22T18:44:41.362065,attacker,14,XSS,1.0000,4.56,4.9,99.06,14
2026-04-22T18:44:41.883007,attacker,13,Vulnerability_scanner,1.0000,5.60,13.5,99.06,15
2026-04-22T18:44:42.253889,water-sensor,14,XSS,1.0000,3.15,3.7,99.06,16
2026-04-22T18:44:42.399142,attacker,14,XSS,1.0000,3.53,1.7,99.06,17
2026-04-22T18:44:42.912235,attacker,14,XSS,1.0000,2.61,10.7,99.06,18
2026-04-22T18:44:43.269709,water-sensor,7,Normal,1.0000,3.69,1.4,99.06,19
2026-04-22T18:44:43.423991,attacker,14,XSS,1.0000,2.91,1.6,99.06,20
2026-04-22T18:44:43.937747,attacker,13,Vulnerability_scanner,1.0000,4.34,6.1,99.06,21
2026-04-22T18:44:44.283083,water-sensor,14,XSS,1.0000,2.28,2.2,99.06,22
2026-04-22T18:44:44.450681,attacker,13,Vulnerability_scanner,1.0000,2.79,0.8,99.06,23
2026-04-22T18:44:44.974174,attacker,14,XSS,1.0000,5.85,32.1,99.06,24
2026-04-22T18:44:45.299054,water-sensor,14,XSS,1.0000,4.71,29.1,99.06,25
2026-04-22T18:44:45.493173,attacker,14,XSS,1.0000,6.84,11.2,99.06,26
2026-04-22T18:44:46.007944,attacker,14,XSS,1.0000,3.83,7.3,99.06,27
2026-04-22T18:44:46.325606,water-sensor,14,XSS,1.0000,8.52,2.8,99.06,28
2026-04-22T18:44:46.550549,attacker,14,XSS,1.0000,22.94,6.8,99.06,29
2026-04-22T18:44:47.076602,attacker,7,Normal,1.0000,4.19,7.2,99.06,30
2026-04-22T18:44:47.351124,water-sensor,14,XSS,1.0000,9.51,5.5,99.06,31
2026-04-22T18:44:47.592300,attacker,14,XSS,1.0000,5.98,6.2,99.06,32
2026-04-22T18:44:48.117755,attacker,14,XSS,1.0000,4.53,7.0,99.06,33
2026-04-22T18:44:48.375086,water-sensor,14,XSS,1.0000,4.09,15.2,99.06,34
2026-04-22T18:44:48.633885,attacker,14,XSS,1.0000,4.96,21.2,99.06,35
2026-04-22T18:44:49.146083,attacker,14,XSS,1.0000,2.73,16.4,99.06,36
2026-04-22T18:44:49.422605,water-sensor,14,XSS,1.0000,6.90,18.9,99.06,37
2026-04-22T18:44:49.664416,attacker,14,XSS,1.0000,6.55,18.7,99.06,38
2026-04-22T18:44:50.191031,attacker,14,XSS,1.0000,8.68,20.0,99.06,39
2026-04-22T18:44:50.453868,water-sensor,14,XSS,1.0000,11.44,15.6,99.06,40
2026-04-22T18:44:50.703747,attacker,13,Vulnerability_scanner,1.0000,3.12,19.3,99.06,41
2026-04-22T18:44:51.218724,attacker,14,XSS,1.0000,2.96,28.0,99.06,42
2026-04-22T18:44:51.470534,water-sensor,7,Normal,1.0000,4.34,32.2,99.06,43
2026-04-22T18:44:51.746612,attacker,14,XSS,1.0000,6.20,42.2,99.06,44
2026-04-22T18:44:52.260495,attacker,14,XSS,1.0000,2.20,39.5,99.06,45
2026-04-22T18:44:52.486996,water-sensor,14,XSS,1.0000,4.09,34.6,99.06,46
2026-04-22T18:44:52.778517,attacker,14,XSS,1.0000,6.43,44.8,99.06,47
2026-04-22T18:44:53.296740,attacker,7,Normal,1.0000,3.80,16.3,99.06,48
2026-04-22T18:44:53.501685,water-sensor,14,XSS,1.0000,3.61,7.4,99.06,49
2026-04-22T18:44:53.814120,attacker,14,XSS,1.0000,5.21,31.5,99.06,50
2026-04-22T18:44:54.330210,attacker,14,XSS,1.0000,4.04,31.7,99.06,51
2026-04-22T18:44:54.516174,water-sensor,7,Normal,1.0000,3.20,39.3,99.06,52
2026-04-22T18:44:54.845277,attacker,14,XSS,1.0000,4.68,65.4,99.06,53
2026-04-22T18:44:55.360184,attacker,14,XSS,1.0000,4.05,48.8,99.06,54
2026-04-22T18:44:55.527931,water-sensor,14,XSS,1.0000,1.84,21.6,99.06,55
2026-04-22T18:44:55.871919,attacker,14,XSS,1.0000,1.94,23.1,99.06,56
2026-04-22T18:44:56.386486,attacker,7,Normal,1.0000,4.35,26.9,99.06,57
2026-04-22T18:44:56.542324,water-sensor,7,Normal,1.0000,3.98,24.4,99.06,58
2026-04-22T18:44:56.901689,attacker,7,Normal,1.0000,4.73,34.2,99.06,59
2026-04-22T18:44:57.445753,attacker,14,XSS,1.0000,15.08,53.5,99.06,60
2026-04-22T18:44:57.577968,water-sensor,14,XSS,1.0000,17.34,84.9,99.06,61
2026-04-22T18:44:58.123377,attacker,14,XSS,1.0000,17.45,52.2,99.06,62
2026-04-22T18:44:58.638329,attacker,14,XSS,1.0000,3.93,47.3,99.06,63
2026-04-22T18:44:58.769888,water-sensor,14,XSS,1.0000,3.78,23.2,99.06,64
2026-04-22T18:44:59.179488,attacker,14,XSS,1.0000,3.77,49.3,99.06,65
2026-04-22T18:44:59.694892,attacker,7,Normal,1.0000,4.11,57.4,99.06,66
2026-04-22T18:44:59.790775,water-sensor,14,XSS,1.0000,7.10,47.9,99.06,67
2026-04-22T18:45:00.209036,attacker,14,XSS,1.0000,3.95,46.8,99.06,68
2026-04-22T18:45:00.723453,attacker,14,XSS,1.0000,4.01,53.7,99.06,69
2026-04-22T18:45:00.815370,water-sensor,14,XSS,1.0000,5.59,50.0,99.06,70
2026-04-22T18:45:01.245793,attacker,14,XSS,1.0000,9.63,61.7,99.06,71
2026-04-22T18:45:01.764725,attacker,14,XSS,1.0000,8.92,50.6,99.06,72
2026-04-22T18:45:01.829788,water-sensor,14,XSS,1.0000,3.54,41.2,99.06,73
2026-04-22T18:45:02.278351,attacker,14,XSS,1.0000,3.85,35.7,99.06,74
2026-04-22T18:45:02.795569,attacker,7,Normal,1.0000,4.11,39.0,99.06,75
2026-04-22T18:45:02.852934,water-sensor,14,XSS,1.0000,13.15,43.5,99.06,76
2026-04-22T18:45:03.310017,attacker,13,Vulnerability_scanner,1.0000,4.16,42.1,99.06,77
2026-04-22T18:45:03.839360,attacker,14,XSS,1.0000,16.85,38.6,99.06,78
2026-04-22T18:45:03.878577,water-sensor,7,Normal,1.0000,12.20,74.1,99.06,79
2026-04-22T18:45:04.354970,attacker,14,XSS,1.0000,3.78,45.4,99.06,80
2026-04-22T18:45:04.872941,attacker,14,XSS,1.0000,4.45,31.6,99.06,81
2026-04-22T18:45:04.911004,water-sensor,14,XSS,1.0000,5.33,80.0,99.06,82
2026-04-22T18:45:05.384938,attacker,14,XSS,1.0000,2.86,56.0,99.06,83
2026-04-22T18:45:05.902630,attacker,7,Normal,1.0000,5.25,28.4,99.06,84
2026-04-22T18:45:05.935759,water-sensor,14,XSS,1.0000,3.81,29.6,99.06,85
2026-04-22T18:45:06.414049,attacker,14,XSS,1.0000,2.58,38.7,99.06,86
2026-04-22T18:45:06.925194,attacker,14,XSS,1.0000,2.55,36.1,99.06,87
2026-04-22T18:45:06.948074,water-sensor,7,Normal,1.0000,3.15,44.4,99.06,88
2026-04-22T18:45:07.439861,attacker,14,XSS,1.0000,5.27,41.5,99.06,89
2026-04-22T18:45:07.984798,water-sensor,14,XSS,1.0000,13.82,0.0,99.06,91
2026-04-22T18:45:07.988797,attacker,14,XSS,1.0000,10.78,41.4,99.06,91
2026-04-22T18:45:08.502822,attacker,14,XSS,1.0000,3.85,38.5,99.06,92
2026-04-22T18:45:09.003621,water-sensor,7,Normal,1.0000,3.92,52.0,99.06,93
2026-04-22T18:45:09.027834,attacker,13,Vulnerability_scanner,1.0000,4.30,36.8,99.06,94
2026-04-22T18:45:09.546424,attacker,13,Vulnerability_scanner,1.0000,4.20,29.8,99.06,95
2026-04-22T18:45:10.017957,water-sensor,14,XSS,1.0000,4.02,24.5,99.06,96
2026-04-22T18:45:10.062251,attacker,14,XSS,1.0000,5.06,20.6,99.06,97
2026-04-22T18:45:10.577357,attacker,14,XSS,1.0000,4.98,20.9,99.06,98
2026-04-22T18:45:11.036037,water-sensor,14,XSS,1.0000,4.95,38.4,99.06,99
2026-04-22T18:45:11.093370,attacker,14,XSS,1.0000,3.39,30.4,99.06,100
2026-04-22T18:45:11.607210,attacker,14,XSS,1.0000,3.65,20.7,99.06,101
2026-04-22T18:45:12.052647,water-sensor,14,XSS,1.0000,4.02,22.1,99.06,102
2026-04-22T18:45:12.126397,attacker,13,Vulnerability_scanner,1.0000,7.65,40.0,99.06,103
2026-04-22T18:45:12.645654,attacker,14,XSS,1.0000,5.74,11.4,99.06,104
2026-04-22T18:45:13.067926,water-sensor,14,XSS,1.0000,3.75,21.8,99.06,105
2026-04-22T18:45:13.162347,attacker,14,XSS,1.0000,3.81,15.4,99.18,106
2026-04-22T18:45:13.683270,attacker,14,XSS,1.0000,5.17,4.3,99.18,107
2026-04-22T18:45:14.082124,water-sensor,14,XSS,1.0000,2.82,14.2,99.18,108
2026-04-22T18:45:14.199687,attacker,14,XSS,1.0000,3.52,4.3,99.18,109
2026-04-22T18:45:14.714522,attacker,14,XSS,1.0000,4.16,4.3,99.18,110
2026-04-22T18:45:15.105932,water-sensor,14,XSS,1.0000,10.19,52.0,99.18,111
2026-04-22T18:45:15.224812,attacker,13,Vulnerability_scanner,1.0000,1.89,22.6,99.18,112
2026-04-22T18:45:15.745173,attacker,13,Vulnerability_scanner,1.0000,6.04,3.9,99.18,113
2026-04-22T18:45:16.123545,water-sensor,14,XSS,1.0000,4.33,26.8,99.18,114
2026-04-22T18:45:16.279383,attacker,14,XSS,1.0000,12.98,15.7,99.18,115
2026-04-22T18:45:16.808977,attacker,14,XSS,1.0000,5.81,5.0,99.18,116
2026-04-22T18:45:17.163088,water-sensor,14,XSS,1.0000,12.11,24.7,99.18,117
2026-04-22T18:45:17.337017,attacker,14,XSS,1.0000,6.77,5.0,99.18,118
2026-04-22T18:45:17.896819,attacker,14,XSS,1.0000,25.45,8.4,99.18,119
2026-04-22T18:45:18.180492,water-sensor,14,XSS,1.0000,4.02,17.5,99.18,120
2026-04-22T18:45:18.436065,attacker,13,Vulnerability_scanner,1.0000,8.99,18.6,99.18,121
2026-04-22T18:45:18.968643,attacker,14,XSS,1.0000,7.91,16.3,99.18,122
2026-04-22T18:45:19.197182,water-sensor,14,XSS,1.0000,4.31,9.8,99.18,123
2026-04-22T18:45:19.509310,attacker,14,XSS,1.0000,15.64,11.4,99.18,124
2026-04-22T18:45:20.045719,attacker,14,XSS,1.0000,11.04,19.7,99.18,125
2026-04-22T18:45:20.222030,water-sensor,7,Normal,1.0000,3.21,27.1,99.18,126
2026-04-22T18:45:20.572172,attacker,14,XSS,1.0000,6.75,12.4,99.18,127
2026-04-22T18:45:21.101180,attacker,14,XSS,1.0000,8.91,6.5,99.18,128
2026-04-22T18:45:21.252612,water-sensor,14,XSS,1.0000,6.39,11.5,99.18,129
2026-04-22T18:45:21.634374,attacker,13,Vulnerability_scanner,1.0000,13.22,3.6,99.18,130
2026-04-22T18:45:22.157184,attacker,13,Vulnerability_scanner,1.0000,4.28,18.8,99.18,131
2026-04-22T18:45:22.274957,water-sensor,14,XSS,1.0000,4.18,11.8,99.18,132
2026-04-22T18:45:22.692179,attacker,14,XSS,1.0000,10.27,6.0,99.18,133
2026-04-22T18:45:23.219212,attacker,14,XSS,1.0000,5.04,8.8,99.18,134
2026-04-22T18:45:23.296465,water-sensor,7,Normal,1.0000,5.48,6.5,99.18,135
2026-04-22T18:45:23.743928,attacker,14,XSS,1.0000,5.12,3.7,99.18,136
2026-04-22T18:45:24.268080,attacker,14,XSS,1.0000,5.71,20.1,99.18,137
2026-04-22T18:45:24.318871,water-sensor,14,XSS,1.0000,5.45,14.6,99.18,138
2026-04-22T18:45:24.783481,attacker,13,Vulnerability_scanner,1.0000,3.16,21.5,99.18,139
2026-04-22T18:45:25.301245,attacker,14,XSS,1.0000,4.65,16.0,99.18,140
2026-04-22T18:45:25.344928,water-sensor,7,Normal,1.0000,5.51,8.8,99.18,141
2026-04-22T18:45:25.825525,attacker,14,XSS,1.0000,6.42,5.0,99.18,142
2026-04-22T18:45:26.349412,attacker,14,XSS,1.0000,5.11,24.1,99.18,143
2026-04-22T18:45:26.372647,water-sensor,14,XSS,1.0000,8.20,25.0,99.18,144
2026-04-22T18:45:26.874927,attacker,14,XSS,1.0000,6.76,9.2,99.18,145
2026-04-22T18:45:27.431225,water-sensor,14,XSS,1.0000,15.40,11.6,99.18,147
2026-04-22T18:45:27.435493,attacker,14,XSS,1.0000,11.26,17.4,99.18,147
2026-04-22T18:45:28.072805,attacker,13,Vulnerability_scanner,1.0000,4.50,9.5,99.18,148
2026-04-22T18:45:28.576374,water-sensor,14,XSS,1.0000,5.75,7.4,99.18,149
2026-04-22T18:45:28.597530,attacker,13,Vulnerability_scanner,1.0000,6.14,29.4,99.18,150
2026-04-22T18:45:29.115988,attacker,14,XSS,1.0000,4.50,34.2,99.18,151
2026-04-22T18:45:29.608371,water-sensor,14,XSS,1.0000,6.17,12.2,99.18,152
2026-04-22T18:45:29.638074,attacker,14,XSS,1.0000,5.35,13.0,99.18,153
2026-04-22T18:45:30.158198,attacker,14,XSS,1.0000,3.53,61.3,99.18,154
2026-04-22T18:45:30.637504,water-sensor,14,XSS,1.0000,8.05,11.9,99.18,155
2026-04-22T18:45:30.677350,attacker,14,XSS,1.0000,5.14,73.3,99.18,156
2026-04-22T18:45:31.207596,attacker,13,Vulnerability_scanner,1.0000,5.97,20.4,99.18,157
2026-04-22T18:45:31.687277,water-sensor,14,XSS,1.0000,18.78,4.7,99.18,158
2026-04-22T18:45:31.741409,attacker,14,XSS,1.0000,8.41,20.0,99.18,159
2026-04-22T18:45:32.260972,attacker,14,XSS,1.0000,1.90,14.1,99.18,160
2026-04-22T18:45:32.709308,water-sensor,7,Normal,1.0000,3.37,30.3,99.18,161
2026-04-22T18:45:32.777473,attacker,14,XSS,1.0000,4.67,7.4,99.18,162
2026-04-22T18:45:33.304407,attacker,14,XSS,1.0000,6.34,9.8,99.18,163
2026-04-22T18:45:33.742914,water-sensor,14,XSS,1.0000,6.13,21.5,99.18,164
2026-04-22T18:45:33.832119,attacker,14,XSS,1.0000,8.63,26.0,99.18,165
2026-04-22T18:45:34.350845,attacker,13,Vulnerability_scanner,1.0000,5.17,21.2,99.18,166
2026-04-22T18:45:34.762644,water-sensor,14,XSS,1.0000,2.87,16.3,99.18,167
2026-04-22T18:45:34.886620,attacker,7,Normal,1.0000,8.87,70.0,99.18,168
2026-04-22T18:45:35.401293,attacker,14,XSS,1.0000,3.82,51.2,99.18,169
2026-04-22T18:45:35.824564,water-sensor,7,Normal,1.0000,30.17,34.7,99.18,170
2026-04-22T18:45:35.914153,attacker,14,XSS,1.0000,2.17,70.3,99.18,171
