timestamp,status,label,is_attack,latency_ms
2026-04-23T06:44:29.653975,ok,Normal,no,45.51
2026-04-23T06:44:30.800263,ok,Normal,no,26.13
2026-04-23T06:44:31.931097,ok,Normal,no,13.69
2026-04-23T06:44:33.048802,ok,Normal,no,12.92
2026-04-23T06:44:34.174348,ok,Normal,no,13.58
2026-04-23T06:44:35.300899,ok,Normal,no,11.01
2026-04-23T06:44:36.444253,ok,Normal,no,14.43
2026-04-23T06:44:37.696372,ok,Normal,no,11.75
2026-04-23T06:44:38.813252,ok,Normal,no,10.64
2026-04-23T06:44:39.955523,ok,Normal,no,15.79
2026-04-23T06:44:41.088603,ok,Normal,no,12.63
2026-04-23T06:44:42.224079,ok,Normal,no,14.13
2026-04-23T06:44:43.349619,ok,Normal,no,11.56
2026-04-23T06:44:44.508871,ok,Normal,no,51.05
2026-04-23T06:44:45.658229,ok,Normal,no,23.68
2026-04-23T06:44:46.804042,ok,Normal,no,12.48
2026-04-23T06:44:47.935008,ok,Normal,no,12.85
2026-04-23T06:44:49.086119,ok,Normal,no,30.15
2026-04-23T06:44:50.256237,ok,Normal,no,26.29
2026-04-23T06:44:51.393571,ok,Normal,no,10.38
2026-04-23T06:44:52.550345,ok,Normal,no,25.36
2026-04-23T06:44:53.692981,ok,Normal,no,23.10
2026-04-23T06:44:54.814263,ok,Normal,no,12.80
2026-04-23T06:44:56.011944,ok,Normal,no,61.03
2026-04-23T06:44:57.150654,ok,Normal,no,12.75
2026-04-23T06:44:58.289918,ok,Normal,no,13.31
2026-04-23T06:44:59.419604,ok,Normal,no,9.69
2026-04-23T06:45:00.536752,ok,Normal,no,9.69
2026-04-23T06:45:01.668531,ok,Normal,no,13.37
2026-04-23T06:45:02.809764,ok,Normal,no,16.36
2026-04-23T06:45:03.961898,ok,Normal,no,24.05
2026-04-23T06:45:05.089447,ok,Normal,no,9.24
2026-04-23T06:45:06.262379,ok,Normal,no,60.42
2026-04-23T06:45:07.697892,ok,Normal,no,190.05
2026-04-23T06:45:08.840846,ok,Normal,no,10.90
2026-04-23T06:45:09.975136,ok,Normal,no,13.24
2026-04-23T06:45:11.131292,ok,Normal,no,12.81
2026-04-23T06:45:12.252903,ok,Normal,no,18.31
2026-04-23T06:45:13.378908,ok,Normal,no,13.04
2026-04-23T06:45:14.517284,ok,Normal,no,28.34
2026-04-23T06:45:15.647787,ok,Normal,no,13.43
2026-04-23T06:45:16.802949,ok,Normal,no,30.09
2026-04-23T06:45:17.960685,ok,Normal,no,35.91
2026-04-23T06:45:19.099493,ok,Normal,no,27.74
2026-04-23T06:45:20.250044,ok,Normal,no,32.36
2026-04-23T06:45:21.393023,ok,Normal,no,27.47
2026-04-23T06:45:22.518507,ok,Normal,no,10.40
2026-04-23T06:45:23.670619,ok,Normal,no,28.71
2026-04-23T06:45:24.825981,ok,Normal,no,33.59
2026-04-23T06:45:26.003956,ok,Normal,no,52.12
2026-04-23T06:45:27.147442,ok,Normal,no,12.21
2026-04-23T06:45:28.285831,ok,Normal,no,18.39
2026-04-23T06:45:29.436845,ok,Normal,no,25.91
2026-04-23T06:45:30.576076,ok,Normal,no,21.06
2026-04-23T06:45:31.713377,ok,Normal,no,13.65
2026-04-23T06:45:32.848337,ok,Normal,no,12.62
2026-04-23T06:45:33.987948,ok,Normal,no,11.31
2026-04-23T06:45:35.139063,ok,Normal,no,13.43
2026-04-23T06:45:36.275239,ok,Normal,no,14.21
2026-04-23T06:45:37.410841,ok,Normal,no,12.12
2026-04-23T06:45:38.681893,ok,Normal,no,13.53
2026-04-23T06:45:39.825865,ok,Normal,no,17.72
2026-04-23T06:45:40.988919,ok,Normal,no,29.69
2026-04-23T06:45:42.120165,ok,Normal,no,10.50
2026-04-23T06:45:43.287108,ok,Normal,no,31.95
2026-04-23T06:45:44.445366,ok,Normal,no,29.89
2026-04-23T06:45:45.594011,ok,Normal,no,10.27
2026-04-23T06:45:46.717521,ok,Normal,no,13.17
2026-04-23T06:45:47.847434,ok,Normal,no,9.97
2026-04-23T06:45:48.985492,ok,Normal,no,33.83
2026-04-23T06:45:50.105517,ok,Normal,no,13.63
2026-04-23T06:45:51.251660,ok,Normal,no,23.59
2026-04-23T06:45:52.381673,ok,Normal,no,12.81
2026-04-23T06:45:53.517792,ok,Normal,no,12.99
2026-04-23T06:45:54.645623,ok,Normal,no,9.62
